Data,ICE US Treasury 20+ Year Bond
09/2011,18405.227605826716
10/2011,16961.00336035836
11/2011,18237.876073043037
12/2011,19565.283529970795
01/2012,19137.487792515498
02/2012,18331.546851463554
03/2012,17684.37742219858
04/2012,18696.92574957237
05/2012,21603.453888237065
06/2012,20978.432354460565
07/2012,22292.1814066256
08/2012,21435.510163079438
09/2012,20415.915919954467
10/2012,20299.140434552824
11/2012,20589.899665112756
12/2012,19838.794315863663
01/2013,18562.443509990953
02/2013,19399.460529853153
03/2013,19846.022317203588
04/2013,20307.391579012656
05/2013,19015.463491842173
06/2013,18306.510062131685
07/2013,17642.375706943058
08/2013,17573.167525079105
09/2013,17241.36986266052
10/2013,17310.19895619048
11/2013,16890.72504685616
12/2013,16338.22951173761
01/2014,17662.496939464945
02/2014,17435.22000847701
03/2014,17605.03644658717
04/2014,17908.898456653602
05/2014,18778.69806841778
06/2014,18669.19900891103
07/2014,19192.7761702712
08/2014,20320.746831030163
09/2014,20873.257761937017
10/2014,21576.070300338164
11/2014,22281.73195583488
12/2014,23644.564476089123
01/2015,27815.598309449302
02/2015,26288.740398584865
03/2015,27804.622807964828
04/2015,25788.999343614632
05/2015,25872.967780968007
06/2015,24321.048134970908
07/2015,25725.8414703916
08/2015,25172.877842281985
09/2015,25573.107550753626
10/2015,25870.94295099113
11/2015,26707.92998910918
12/2015,25945.703941380612
01/2016,27224.88992146392
02/2016,28164.899440122375
03/2016,26919.263858834085
04/2016,26725.341975853866
05/2016,27569.628809881808
06/2016,29537.00939187098
07/2016,30156.822834424565
08/2016,29818.922105547525
09/2016,29217.804712515008
10/2016,28521.791197711424
11/2016,27095.663803192256
12/2016,27185.35002979774
01/2017,26748.69214811464
02/2017,27588.051360485293
03/2017,27183.91832785901
04/2017,27007.963340606508
05/2017,26852.85834503228
06/2017,26530.629279338493
07/2017,25635.47876584539
08/2017,26340.809566327327
09/2017,25790.457358138774
10/2017,26150.424846515816
11/2017,25887.744442300325
12/2017,26043.000093186354
01/2018,24240.318850330452
02/2018,23959.58512239014
03/2018,24497.797640767
04/2018,24495.40971088594
05/2018,25846.145773282227
06/2018,25996.552400067398
07/2018,25416.506317283987
08/2018,26015.323070485876
09/2018,25384.82530206677
10/2018,25135.51566462356
11/2018,25517.522466624174
12/2018,26738.027299601494
01/2019,26814.275985959717
02/2019,26651.16205649316
03/2019,28536.447680199777
04/2019,28046.578377686143
05/2019,30124.09686475377
06/2019,29898.400724090057
07/2019,30566.155810687767
08/2019,34249.33810164931
09/2019,33791.52247925982
10/2019,32685.68443712577
11/2019,33037.28676234558
12/2019,31365.10473399964
01/2020,34135.0926498745
02/2020,36732.8712834553
03/2020,39392.62147756818
04/2020,40147.32940241727
05/2020,38412.15858741786
06/2020,38271.85273984556
07/2020,37767.89187200634
08/2020,35764.48017409051
09/2020,36662.756187592095
10/2020,35558.5633353922
11/2020,35165.80886443677
12/2020,33901.66179951723
01/2021,32908.235547407734
02/2021,30726.149334440208
03/2021,30522.757084729255
04/2021,30346.60672217567
05/2021,30066.802719793515
06/2021,32211.38644046316
07/2021,33386.95807921136
08/2021,33465.575626527934
09/2021,33194.7554170546
10/2021,33779.444879905765
11/2021,35617.19897836093
12/2021,34990.24046451464
01/2022,34159.72691510051
02/2022,33466.8992208282
03/2022,31926.083284700922
04/2022,30451.52934413705
05/2022,29289.205384147717
06/2022,29783.388299493156
07/2022,31112.79119869016
08/2022,30290.360129126228
09/2022,28540.334725095418
