Data,JPGL
09/2013,28724.54736045706
10/2013,29834.94900980229
11/2013,30269.985989513905
12/2013,30879.894747537197
01/2014,29953.604954979797
02/2014,31538.415781241994
03/2014,31832.12363684366
04/2014,32168.586037084326
05/2014,32879.67436447051
06/2014,33549.14898033093
07/2014,32886.23522664573
08/2014,33669.03367792454
09/2014,32717.056873333797
10/2014,33245.75873735234
11/2014,33834.43634540117
12/2014,33534.249292207714
01/2015,33424.68624910778
02/2015,34933.25212652416
03/2015,34505.99881431655
04/2015,34943.96371609402
05/2015,35051.19658073888
06/2015,34108.57999568662
07/2015,34879.45365487874
08/2015,33042.88981138921
09/2015,32283.748190042556
10/2015,34611.306743896785
11/2015,34460.313437325065
12/2015,33974.0738572908
01/2016,32627.536100450576
02/2016,32706.35837107369
03/2016,34889.12518772266
04/2016,35276.909759232716
05/2016,35398.57135702229
06/2016,35625.16510554093
07/2016,36801.94447054056
08/2016,36490.444732781616
09/2016,36832.64797766659
10/2016,36022.24261144767
11/2016,36238.93087263828
12/2016,37140.6262686693
01/2017,38001.26144991472
02/2017,39059.82192131546
03/2017,39610.88865965274
04/2017,40115.54342909369
05/2017,41166.93690636842
06/2017,41209.11194847231
07/2017,42101.359870641674
08/2017,42242.61246853154
09/2017,43091.26494025347
10/2017,43882.572444915364
11/2017,44758.312571298025
12/2017,45296.08458931302
01/2018,47006.13117753682
02/2018,45108.044546829806
03/2018,44789.109450638534
04/2018,45326.190839600065
05/2018,45556.529299129536
06/2018,45290.799218061155
07/2018,46707.878446245784
08/2018,46807.83689380217
09/2018,47077.594859106684
10/2018,43832.25448743753
11/2018,44469.066822991714
12/2018,41541.52887623907
01/2019,44688.80835172771
02/2019,45839.29503785835
03/2019,46290.33342338465
04/2019,47143.25155885317
05/2019,44824.67907757261
06/2019,47488.36400807764
07/2019,47527.91724396821
08/2019,46674.54836173039
09/2019,47967.644752314336
10/2019,48717.55497149144
11/2019,49460.47360535088
12/2019,50770.92577065644
01/2020,50094.15623092498
02/2020,45661.713903085474
03/2020,38664.24566437461
04/2020,42369.610908427494
05/2020,44282.518143985915
06/2020,44605.19624989231
07/2020,46456.749414644684
08/2020,48386.397548499604
09/2020,47454.02485068838
10/2020,46392.57541355135
11/2020,51907.41803255673
12/2020,53752.00532826054
01/2021,53278.02983372709
02/2021,54537.46308103875
03/2021,57787.45750964077
04/2021,59822.91762144243
05/2021,61462.217350907755
06/2021,61326.75217950062
07/2021,62295.09539718742
08/2021,63362.70079451981
