Data,MSCI Europe Small Cap Value Weighted
08/2020,87259.76911557789
09/2020,85220.54545951488
10/2020,81272.57585912122
11/2020,99145.03270784643
12/2020,105031.48207481054
01/2021,106010.73753790377
02/2021,113927.08417457309
03/2021,121919.58144477611
04/2021,124959.38488164212
05/2021,129856.81880173755
06/2021,126638.11283237969
07/2021,129295.5940425532
08/2021,134129.2455332094
09/2021,130871.63024095347
10/2021,133262.65636410477
11/2021,127669.23231540967
12/2021,136340.7765477662
01/2022,133037.3484277519
02/2022,128881.96658630238
03/2022,129387.36385190525
04/2022,129154.88118406075
05/2022,128812.53146830956
06/2022,113437.42689900841
07/2022,121041.7933634046
08/2022,114708.05653800002
09/2022,103098.66250512926
10/2022,110479.18834577367
11/2022,117588.65753662298
12/2022,116023.02555222204
01/2023,127137.16730360937
02/2023,130634.24885205763
03/2023,123698.26406252875
04/2023,127162.09105728076
05/2023,121707.5389366283
06/2023,124610.8717798638
07/2023,129219.97682844961
08/2023,125371.9265679058
09/2023,122981.79173494433
10/2023,116278.0783124588
11/2023,125674.01624005126
12/2023,134673.24086877832
01/2024,133188.58863523116
02/2024,131315.3888601515
03/2024,137599.96734622147
04/2024,137888.5572103004
05/2024,145869.7564688537
06/2024,139365.82478094348
07/2024,144506.0472571112
08/2024,143371.0435194372
09/2024,144674.7390353698
10/2024,138375.77434662747
